id,naics_code,industry_name,injury_rate,total_cases,data_source,year,created_at
8ed60794-5d9f-428a-aabc-d7cf2413c46a,2383,Building finishing contractors,2.40,31800,BLS_Table_1_2023,2023,2025-12-27 18:47:13.068736+00
24bc19dd-9e6c-4db1-9f73-7d59697025dc,23831,Drywall and insulation contractors,2.80,8900,BLS_Table_1_2023,2023,2025-12-27 18:47:13.113444+00
fc70ba39-d2e3-4712-926c-25ab0394f8ca,23832,Painting and wall covering contractors,2.10,5200,BLS_Table_1_2023,2023,2025-12-27 18:47:13.173383+00
dec2aa9b-715f-44e8-b68c-b39f1e9d16d2,23833,Flooring contractors,2.70,4100,BLS_Table_1_2023,2023,2025-12-27 18:47:13.228453+00
72013787-ae27-4357-ac3c-b19a35d30ad5,23834,Tile and terrazzo contractors,2.50,1800,BLS_Table_1_2023,2023,2025-12-27 18:47:13.328544+00
de15f72a-ffa6-438d-96f4-b7264948d498,23835,Finish carpentry contractors,2.90,3200,BLS_Table_1_2023,2023,2025-12-27 18:47:13.36823+00
3d5b18d6-2bbe-4931-9509-1639ea325911,23839,Other building finishing contractors,2.20,8600,BLS_Table_1_2023,2023,2025-12-27 18:47:13.413837+00
849b117a-b22f-4f4f-b27c-4f8fc95fedc1,2389,Other specialty trade contractors,2.80,8400,BLS_Table_1_2023,2023,2025-12-27 18:47:13.463345+00
beaa50d5-395e-44f0-a26a-598667453775,23,Construction,,1069,BLS_FATALITIES_A1_2023,2023,2025-12-27 18:47:13.503354+00
23dfea48-d32b-44c2-ba6a-5a5f6b981799,236,Construction of buildings,,198,BLS_FATALITIES_A1_2023,2023,2025-12-27 18:47:13.543414+00
5e92401b-cfaa-460f-8747-3fe95442ed87,237,Heavy and civil engineering construction,,156,BLS_FATALITIES_A1_2023,2023,2025-12-27 18:47:13.588187+00
b90684da-3b8a-4c31-9d4e-b89ee4033541,238,Specialty trade contractors,,715,BLS_FATALITIES_A1_2023,2023,2025-12-27 18:47:13.628615+00
6ce097d8-b9f9-4986-93b6-e80635a9f085,23816,Roofing contractors,,96,BLS_FATALITIES_A1_2023,2023,2025-12-27 18:47:13.6735+00
a1463955-6830-492e-9c49-04a31e609f78,23812,Structural steel and precast concrete contractors,,42,BLS_FATALITIES_A1_2023,2023,2025-12-27 18:47:13.723259+00
